id_dec,length,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8
2,8,00,00,00,00,00,00,00,0A
704,8,3D,00,00,00,00,00,00,00
304,8,92,80,00,FF,05,7D,04,43
320,8,00,00,00,00,04,21,24,C6
790,8,05,08,00,00,08,15,00,80
672,8,28,00,6D,00,B7,0A,9F,03
1265,8,48,17,00,00,00,00,00,00
688,5,E9,FF,00,07,EE
320,8,00,00,00,00,06,21,25,D8
880,8,00,20,00,80,00,00,00,00
688,5,E9,FF,00,07,FF
2,8,00,00,00,00,00,05,06,25
320,8,00,00,00,00,08,26,26,0F
672,8,68,00,6D,00,B7,0A,9F,03
1349,8,EA,00,00,7C,00,00,00,00
1201,8,00,00,00,00,00,00,00,00
320,8,00,00,00,00,0A,00,27,D1
1349,8,EA,00,00,7C,00,00,00,00
688,5,E9,FF,00,07,11
2,8,00,00,00,00,00,06,08,57
320,8,00,00,00,00,02,21,28,5F
1264,8,80,00,CA,00,00,CB,60,0F
1349,8,EA,00,00,7C,00,00,00,00
1201,8,00,00,00,00,00,00,00,00
399,8,FA,2F,00,00,00,62,00,00
544,8,9E,03,FF,C7,0C,00,48,10
497,8,00,00,00,00,00,00,00,00
356,8,00,08,00,00,00,00,0E,06
809,8,80,7B,81,12,11,2E,00,12
544,8,A0,03,FF,C7,0C,00,49,10
848,8,00,20,10,69,69,00,00,30
2,8,00,00,00,00,00,06,0B,70
790,8,05,08,00,00,08,15,00,80
497,8,00,00,00,00,00,00,00,00
2,8,00,00,00,00,00,06,0C,23
356,8,00,08,00,00,00,00,00,08
809,8,D6,7B,81,12,11,2E,00,12
848,8,00,20,20,69,69,00,00,00
1508,3,04,00,00
356,8,00,08,00,00,00,00,01,09
357,8,FC,07,80,00,00,00,0C,77
497,8,00,00,00,00,00,00,00,00
704,8,3D,00,00,00,00,00,00,00
356,8,00,08,00,00,00,00,02,0A
880,8,00,20,00,80,00,00,00,00
848,8,00,20,30,69,69,00,00,10
357,8,FC,07,80,00,00,00,0E,75
399,8,FA,2F,00,00,00,62,00,00
1349,8,EA,00,00,7C,00,00,00,00
544,8,9F,03,FF,C7,0C,00,49,10
357,8,FC,07,80,00,00,00,0F,74
304,8,9C,80,00,FF,0B,7D,00,3F
1200,8,00,00,00,00,00,00,00,00
544,8,A0,03,FF,C7,0C,00,48,10
688,5,E9,FF,00,07,BB
1087,8,00,40,61,FF,55,00,00,00
320,8,00,00,00,00,02,00,21,93
497,8,00,00,00,00,00,00,00,00
688,5,EB,FF,00,07,EC
305,8,D8,7F,00,00,7C,7B,02,6A
1349,8,EA,00,00,7C,00,00,00,00
544,8,9F,03,FF,C7,09,00,4D,10
688,5,EB,FF,00,07,FD
1201,8,00,00,00,00,00,00,00,00
320,8,00,00,00,00,02,00,23,A9
688,5,E9,FF,00,07,EE
790,8,05,08,00,00,08,15,00,80
356,8,00,08,00,00,00,00,08,00
320,8,00,00,00,00,02,00,24,FA
688,5,E9,FF,00,07,FF
399,8,FA,2F,00,00,00,62,00,00
304,8,95,80,00,FF,FD,7C,05,18
1349,8,EA,00,00,7C,00,00,00,00
497,8,00,00,00,00,00,00,00,00
672,8,68,00,6D,00,B7,0A,9F,03
356,8,00,08,00,00,00,00,0A,02
357,8,FD,07,80,00,00,00,06,7C
544,8,9E,03,FF,C7,0C,00,49,10
880,8,00,20,00,80,00,00,00,00
320,8,00,00,00,00,04,19,27,7A
688,5,EB,FF,00,07,02
544,8,9E,03,FF,C7,0F,00,49,10
1087,8,00,40,61,FF,55,00,00,00
320,8,00,00,00,00,06,15,28,B5
848,8,00,20,80,69,69,00,00,A0
544,8,9F,03,FF,C7,0C,00,48,10
1349,8,EA,00,00,7C,00,00,00,00
688,5,EB,FF,00,07,64
339,8,00,00,00,FF,00,FF,90,8E
790,8,05,08,00,00,08,15,00,80
1264,8,80,00,DC,00,00,CB,60,0F
357,8,FE,07,80,00,00,00,0A,73
848,8,00,20,90,69,69,00,00,B0
608,8,05,08,15,00,58,0A,5F,02
1349,8,EA,00,00,7C,00,00,00,00
320,8,00,00,00,00,0C,01,2B,04
339,8,00,00,00,FF,00,FF,B0,AE
880,8,00,20,00,80,00,00,00,00
2,8,00,00,00,00,00,08,0C,CC
320,8,00,00,00,00,0E,09,2C,0E
339,8,00,00,00,FF,00,FF,C0,BE
1087,8,00,40,61,FF,55,00,00,00
1201,8,00,00,00,00,00,00,00,00
320,8,00,00,00,00,10,33,2D,01
544,8,9F,03,FF,C7,0C,00,48,10
357,8,FD,07,80,00,00,00,0E,74
356,8,00,08,00,00,00,00,02,0A
320,8,00,00,00,00,12,0D,2E,0B
399,8,FA,2F,00,00,00,62,00,00
1349,8,EA,00,00,7C,00,00,00,00
356,8,00,08,00,00,00,00,03,0B
320,8,00,00,00,00,14,0F,2F,8B
544,8,9F,03,FF,C7,0C,00,48,10
1349,8,EA,00,00,7C,00,00,00,00
304,8,9F,80,00,FF,01,7D,00,D7
848,8,00,20,C0,69,69,00,00,E0
672,8,48,00,6D,00,B7,0A,9F,03
1349,8,EA,00,00,7C,00,00,00,00
305,8,28,80,00,00,7C,7B,01,ED
320,8,00,00,00,00,18,09,21,92
809,8,40,7B,81,12,11,2E,00,12
1264,8,80,00,E4,00,00,CB,60,0F
320,8,00,00,00,00,1A,13,22,C0
399,8,FA,2F,00,00,00,62,00,00
1349,8,EA,00,00,7C,00,00,00,00
1201,8,00,00,00,00,00,00,00,00
320,8,00,00,00,00,1C,00,23,B8
161,8,80,78,00,00,65,00,00,00
1264,8,80,00,E6,00,00,CB,60,0F
1349,8,EA,00,00,7C,00,00,00,00
320,8,00,00,00,00,02,08,24,A0
1087,8,00,40,61,FF,55,00,00,00
1349,8,EA,00,00,7C,00,00,00,00
1201,8,00,00,00,00,00,00,00,00
688,5,EB,FF,00,07,31
544,8,9F,03,FF,C7,0C,00,4E,10
1349,8,EA,00,00,7C,00,00,00,00
1200,8,00,00,00,00,00,00,00,00
790,8,05,08,00,00,08,15,00,80
544,8,9F,03,FF,C7,0F,00,4B,10
1201,8,00,00,00,00,00,00,00,00
688,5,EB,FF,00,07,13
672,8,28,00,6D,00,B7,0A,9F,03
544,8,9F,03,FF,C7,0C,00,48,10
1435,8,00,00,00,00,00,00,00,4C
356,8,00,08,00,00,00,00,0C,04
848,8,00,20,00,69,69,00,00,20
544,8,9E,03,FF,C7,0F,00,48,10
357,8,FD,07,80,00,00,00,0A,70
304,8,97,80,00,FF,0B,7D,09,FF
1087,8,00,40,61,FF,55,00,00,00
497,8,00,00,00,00,00,00,00,00
357,8,FD,07,80,00,00,00,0B,71
320,8,00,00,00,00,0E,09,2A,40
1349,8,EA,00,00,7C,00,00,00,00
704,8,3D,00,00,00,00,00,00,00
688,5,E9,FF,00,07,77
304,8,95,80,00,FF,10,7D,0B,E7
1088,8,FF,00,00,00,FF,00,00,00
497,8,00,00,00,00,00,00,00,00
688,5,E9,FF,00,07,88
320,8,00,00,00,00,12,0D,2C,31
1349,8,EA,00,00,7C,00,00,00,00
688,5,E9,FF,00,07,99
1201,8,00,00,00,00,00,00,00,00
305,8,F8,7F,00,00,88,7B,0D,30
1264,8,80,00,F0,00,00,CB,60,0F
688,5,E9,FF,00,07,AA
2,8,00,00,00,00,00,08,0E,F6
320,8,00,00,00,00,16,02,2E,AE
1349,8,EA,00,00,7C,00,00,00,00
544,8,9E,03,FF,C7,0C,00,48,10
790,8,05,08,00,00,08,15,00,80
1087,8,00,40,61,FF,55,00,00,00
357,8,FC,07,80,00,00,00,01,7A
544,8,9F,03,FF,C7,0C,00,48,10
790,8,05,08,00,00,08,15,00,80
1087,8,00,40,61,FF,55,00,00,00
1349,8,EA,00,00,7C,00,00,00,00
544,8,9F,03,FF,C7,0C,00,4D,10
608,8,05,08,15,00,58,0A,5F,3F
357,8,FD,07,80,00,00,00,03,79
1435,8,00,00,00,00,00,00,00,00
497,8,00,00,00,00,00,00,00,00
809,8,D6,7B,81,12,11,2E,00,12
357,8,FD,07,80,00,00,00,04,7E
339,8,00,00,00,FF,00,FF,40,3E
544,8,A0,03,FF,C7,0C,00,48,10
898,8,00,00,00,00,00,00,00,C4
320,8,00,00,00,00,0A,02,23,3D
497,8,00,00,00,00,00,00,00,00
1508,3,04,00,00
357,8,FD,07,80,00,00,00,06,7C
1349,8,EA,00,00,7C,00,00,00,00
544,8,9E,03,FF,C7,0C,00,4A,10
790,8,05,08,00,00,08,15,00,80
356,8,00,08,00,00,00,00,09,01
1264,8,80,00,F8,00,00,CB,60,0F
497,8,00,00,00,00,00,00,00,00
608,8,05,08,15,00,58,0A,5F,02
304,8,92,80,00,FF,04,7D,06,F6
848,8,00,20,70,69,69,00,00,50
544,8,A0,03,FF,C7,0C,00,48,10
399,8,FA,2F,00,00,00,62,00,00
356,8,00,08,00,00,00,00,0B,03
320,8,00,00,00,00,12,12,27,E9
544,8,9F,03,FF,C7,0C,00,48,10
880,8,00,20,00,80,00,00,00,00
320,8,00,00,00,00,14,06,28,CE
848,8,00,20,80,69,69,00,00,A0
357,8,FE,07,80,00,00,00,0B,72
1264,8,80,00,FC,00,00,CB,60,0F
305,8,00,80,00,00,80,7B,09,3A
320,8,00,00,00,00,16,00,29,65
790,8,05,08,00,00,08,15,00,80
1349,8,EA,00,00,7C,00,00,00,00
848,8,00,20,90,69,69,00,00,B0
357,8,FD,07,80,00,00,00,0D,77
672,8,28,00,6D,00,B7,0A,9F,03
1435,8,00,00,00,00,00,00,00,C4
320,8,00,00,00,00,04,07,2B,BD
688,5,EB,FF,00,07,B9
880,8,00,20,00,80,00,00,00,00
1349,8,EA,00,00,7C,00,00,00,00
848,8,00,20,A0,69,69,00,00,80
688,5,E9,FF,00,07,AA
1087,8,00,40,61,FF,55,00,00,00
